Met [Potion]  || Alk(1)
DeepsHelm [Armor]  || Def(2)
AlteMetFlasche [Einhandwaffe]  || Physikalisch(1)
Lederlappen [Armor]  || Def(1)
Langbogen [Fernkampfwaffe]  || Physikalisch(1)
Dicker Holzstab [Zweihandwaffe]  || Physikalisch(1)
Steinschleuder [Fernkampfwaffe]  || Frost(2)
Dicker Holzstab [Zweihandwaffe]  || Physikalisch(1)
Langbogen [Fernkampfwaffe]  || Physikalisch(1)
Met [Potion]  || Alk(1)
Lederlappen [Armor]  || Def(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Bier [Potion]  || Alk(1)
Berserker [Potion]  || Berserker(3)
Ziemlich Nicer Bogen [Fernkampfwaffe]  || Feuer(3)
DeepsHelm [Armor]  || Def(2)
DeepsHelm [Armor]  || Def(2)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Ziemlich Nicer Bogen [Fernkampfwaffe]  || Blitz(2)
AlteMetFlasche [Einhandwaffe]  || Physikalisch(1)
Flitzebogen [Fernkampfwaffe]  || Physikalisch(1)
Bier [Potion]  || Alk(1)
Met [Potion]  || Alk(1)
Keule [Einhandwaffe]  || Blitz(1)
